Headline,Publication,Summary,Date
"BONE AND JOINT SURGERY CLINIC JOINS NC STATE HEALTH PLAN NETWORK PRESTIGIOUS, INDEPENDENT ORTHOPEDIC PRACTICE SERVES TRIANGLE REGION","States News Service, 423 words",,6/27/2019
Canada: Newfoundland and Labrador Student Group to Compete in SpaceX Hyperloop Competition,"Thai News Service, GENERAL NEWS, 810 words",,6/26/2019
Canada : Student Group from Newfoundland and Labrador to Compete in SpaceX Hyperloop Competition,"TendersInfo, 642 words",,6/27/2019
"Canadian Insurance Companies Fall Short of Customers' Digital Expectations, J.D. Power Finds","Contify Insurance News, 846 words",,6/25/2019
Complaints about Ontario Cannabis Store pushed ombudsman's case load up 30 per cent last year,"thestar.com, POLITICS; Pg. 0, 753 words",,6/25/2019
Complaints about Ontario Cannabis Store pushed ombudsman's case load up 30 per cent last year,"The Hamilton Spectator (Ontario, Canada), NEWS; Pg. 0, 754 words",,6/25/2019
Complaints about Ontario Cannabis Store pushed ombudsman's case load up 30 per cent last year,"thestar.com, POLITICS; Pg. 0, 754 words",,6/25/2019
Complaints skyrocket for Ontario's ombudsman;Problems with cannabis stores fuel much of agency's caseload,"The Toronto Star, NEWS; Pg. A5, 635 words",,6/26/2019
DealBook Briefing: Sidestepping the Huawei Ban,"The New York Times , BUSINESS; dealbook, 2014 words",,6/26/2019
Department of Energy Announces 2019 Technology Commercialization Fund Projects,"Federal NewsFeed Energy Dept., 2255 words",,6/25/2019
Department of Energy Announces 2019 Technology Commercialization Fund Projects,"Targeted News Service, 2329 words",,6/25/2019
DEPARTMENT OF ENERGY ANNOUNCES 2019 TECHNOLOGY COMMERCIALIZATION FUND PROJECTS,"States News Service, 2269 words",,6/25/2019
Didi Gets California OK to Test Self-Driving Cars,"Investopedia Stock Analysis, 524 words",,6/27/2019
Electric Cars Still Face a Major Roadblock,"Atlantic Online, 980 words",,6/27/2019
Entertainment Lancaster June 27-July 3 The Rest Calendar,"LNP (Lancaster, PA), 1348 words",,6/27/2019
E-vehicle rebate could not survive without cut: Mungall,"The Vancouver Sun (British Columbia), CITY; Pg. A8, 632 words",,6/27/2019
"Falcon Heavy takes off;SpaceX rocket's payload: 24 satellites, atomic clock, green fuel test bed and human ashes","Cape Argus (South Africa); Pg. 7, 452 words",,6/26/2019
Feedback,"New Scientist, REGULARS; Feedback; Pg. 51; Vol. 242; No. 3236; ISSN: 0262 4079, 969 words",,6/26/2019
Financial Daily Dose 6.26.2019 | Top Story: US Tech Firms Find Ways to Resume Sales to Huawei,"JD Supra, 926 words",,6/26/2019
Gaming YouTuber Desmond 'Etika' Amofah Found Dead in New York," Geek.com, 319 words",,6/25/2019
German automaker BMW vows to rev up electric car rollout,"Eastern Eye UK, 384 words",,6/25/2019
Global Clean Coal Technologies (CCT) Market Research 2016-2019 & 2024 with Profiles on 48 Key & Niche Players,"PR Newswire, 930 words",,6/25/2019
Global Energy Metals Completes Transformational Acquisition to Take Full Control of Millennium and Mount Isa Cobalt Projects in Queensland Australia,"Contify Energy News, 584 words",,6/27/2019
Global Energy Metals Initiates Underground Mapping and Sampling and Further Increases Land Position at the Lovelock Cobalt Mine in Nevada,"TheNewswire.ca, 722 words",,6/25/2019
Global Energy Metals Initiates Underground Mapping and Sampling and Further Increases Land Position at the Lovelock Cobalt Mine in Nevada,"Investing News Network, 869 words",,6/25/2019
Global Energy Metals Initiates Underground Mapping and Sampling and Further Increases Land Position at the Lovelock Cobalt Mine in Nevada,"TheNewswire.ca, 722 words",,6/25/2019
"Global Energy Metals kicks off fieldwork at Lovelock cobalt mine, Nevada; further expands claim footprint","Proactive Investors, 392 words",,6/25/2019
Global Low Emission Vehicle Market Analysis Report 2015-2027 - Key Growth Investment Opportunities,"M2 PressWIRE, 719 words",,6/27/2019
Global Low Emission Vehicle Market Analysis Report 2015-2027 - Key Growth & Investment Opportunities - ResearchAndMarkets.com,"Business Wire, 736 words",,6/27/2019
GMA EXCLUSIVE: CAR SAFETY TECHNOLOGY;CONSUMER REPORTS SUBSCRIBERS RANK TOP FEATURES,"ABC News Transcript, GOOD MORNING AMERICA 8:24 AM EST, 617 words",,6/25/2019
Guident Ltd. Acquires Additional IP for Autonomous Vehicle Communication and Safety Network,"Global English (Middle East and North Africa Financial Network), 729 words",,6/25/2019
Guident Ltd. Acquires Additional IP for Autonomous Vehicle Communication and Safety Network,"ACCESSWIRE, 758 words",,6/25/2019
Guident Ltd Acquires Additional IP for Remote Control of Autonomous Vehicles and Drones to Enhance Safety,"Global English (Middle East and North Africa Financial Network), 709 words",,6/27/2019
Guident Ltd Acquires Additional IP for Remote Control of Autonomous Vehicles and Drones to Enhance Safety,"ACCESSWIRE, 729 words",,6/27/2019
"House Science, Space, and Technology Committee Hearing;""Artificial Intelligence (AI): Societal and Ethical Implications."";Testimony by Joy Buolamwini, Founder, Algorithmic Justice League;WAX61762619H047","Congressional Documents and Publications, U.S. HOUSE OF REPRESENTATIVES DOCUMENTS, 12381 words",,6/26/2019
"Hyperloop Technology Market 2019 Global Analysis, Growth, Size, Share, Trends, Forecast to 2025","M2 PressWIRE, 691 words",,6/27/2019
"Hyperloop Technology Market 2019 Global Analysis, Growth, Size, Share, Trends, Forecast to 2025","Global English (Middle East and North Africa Financial Network), 689 words",,6/27/2019
"Hyperloop Technology Market by Global Infrastructure, Trends, Opportunities and Forecast to 2025","Global English (Middle East and North Africa Financial Network), 691 words",,6/27/2019
India- Megahoot's Spartan Modular Technologies in Advanced Partnership Discussions with International Component Manufacturers,"Global English (Middle East and North Africa Financial Network), 1347 words",,6/26/2019
"India- Vehicle Backup Cameras Market 2019 Global Key Players, Size, Applications & Growth Opportunities - Analysis to 2024","MENA English (Middle East and North Africa Financial Network), 834 words",,6/25/2019
Initiates Underground Mapping and Sampling and Further Increases Land Position at the Lovelock Cobalt Mine in Nevada,"Market News Publishing, 804 words",,6/25/2019
It's award-winning Quality,"The Border Mail, WRAP; Pg. 49, 377 words",,6/27/2019
Jack White on Whether It Will Take Another 10 Years to Make the Next Ranconteurs Album,"Variety, 547 words",,6/25/2019
"Map: Heres how much time, money you lose commuting in the Bay Area","The Mercury News (California), 615 words",,6/27/2019
"Map: Here's how much time, money you lose commuting in the Bay Area","The East Bay Times (California), 619 words",,6/27/2019
MDT Releases High-Resolution Three-Axis Digital Magnetometers,"China Business News, 613 words",,6/25/2019
Meet the pilot preparing to fly Virgin Galactic's first tourists into space,"telegraph.co.uk, TRAVEL; Version:2, 2088 words",,6/25/2019
Midtown South: hedge funds eye offices below 34th Street,"HFMWeek, 2496 words",,6/25/2019
More Than 17 Million Unsafe Airbags Remain In Vehicles On U.S. Roads,"The Kentucky Kernel: University of Kentucky, ADVERTORIAL; Pg. 1, 524 words",,6/27/2019
More Than 17 Million Unsafe Airbags Remain In Vehicles On U.S. Roads,"The Alestle: Southern Illinois University - Edwardsville, NEWS; Pg. 1, 524 words",,6/26/2019
Musk mega-rocket in satellites triumph,"The Evening Standard (London), BUSINESS; Pg. 35, 86 words",,6/25/2019
Musk mega-rocket in satellites triumph,"The Evening Standard (London), BUSINESS; Pg. 35, 86 words",,6/25/2019
Musks next coup: Parts of rocket saved;Net catches Falcon Heavy fairing,"Die Welt (English), ECONOMY; ECONOMY; S. 10; Ausg. 146, 617 words",,6/26/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/25/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/27/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/26/2019
Nova Scotia heritage museum makes history by becoming 100 per cent solar powered,"thestar.com, HALIFAX; Pg. 0, 708 words",,6/26/2019
"NVIDIA Executive Vice President Tim Teter's value of investment increases by $709,794 in the past quarter","News Bites - People in Business, 1494 words",,6/26/2019
Ontario Teachers' makes first innovation platform investment in SpaceX,"The Hamilton Spectator (Ontario, Canada), NEWS; Pg. 0, 195 words",,6/27/2019
Ontario Teachers' makes first innovation platform investment in SpaceX,"Red Deer Advocate, BUSINESS, 195 words",,6/27/2019
Ontario Teachers' makes first innovation platform investment in SpaceX;Teachers look to prosper from space investment,"Canadian Press, BUSINESS, 195 words",,6/27/2019
Pedalling Bicycles,"The Mississauga News, COMMUNITY; Pg. 1, 1261 words",,6/26/2019
People mover for the Las Vegas Convention Center,"TendersInfo - Project Notices, 174 words",,6/27/2019
Robot blood' created to power machines for lengthy tasks,"Millennium Post Newspaper, 363 words",,6/25/2019
Self-Driving Cars From University of Greenwich to Vietnam,"Targeted News Service, 390 words",,6/25/2019
SpaceX Falcon Heavy Launches Experimental Satellites,"silicon.co.uk, 319 words",,6/25/2019
SpaceX Falcon Heavy's 3rd Launch -- How to Watch,"The New York Times, Section ; Column 0Science Desk, 984 words",,6/25/2019
SpaceX Launched a Falcon Heavy Rocket with 24 Satellites and an Atomic Clock,"Economic News, 329 words",,6/25/2019
SpaceX launches hefty rocket with 24 satellites,"The Today File, 467 words",,6/25/2019
SpaceX launches hefty rocket with 24 satellites,"The Bismarck Tribune, A; Pg. 6, 446 words",,6/26/2019
"SpaceX launches hefty rocket with 24 satellites, experiments","Associated Press International, BUSINESS NEWS, 541 words",,6/25/2019
"SpaceX launches hefty rocket with 24 satellites, experiments","The Associated Press, DOMESTIC NEWS, 541 words",,6/25/2019
"SpaceX launches hefty rocket with 24 satellites, experiments","Associated Press State & Local, BUSINESS NEWS, 541 words",,6/25/2019
"SpaceX launches hefty rocket with 24 satellites, experiments","Associated Press Financial Wire, DOMESTIC NEWS, 541 words",,6/25/2019
"SpaceX Launches Hefty Rocket With 24 Satellites, Experiments","Federal NewsFeed Voice of America, 518 words",,6/25/2019
"SpaceX launches hefty rocket with 24 satellites, experiments;SpaceX launches hefty rocket with 24 satellites, experiments","Canadian Press, INTERNATIONAL, 540 words",,6/25/2019
SpaceX launches its most difficult mission to date,"ICT Monitor Worldwide, 869 words",,6/27/2019
SpaceX launches rocket with 24 satellites;The Falcon Heavy rocket blasted off from Nasa's Kennedy Space Centre in Florida.,"Belfast Telegraph Online, WORLD; Version:4, 536 words",,6/25/2019
"Stocks - Allergan, GrubHub Surge Premarket; FedEx Falls","Forexpros, 296 words",,6/25/2019
Stocks - Futures Mixed: Trade Hopes Offset as Boeing Drags on Dow,"Forexpros, 353 words",,6/27/2019
Stocks - Futures Surge as Mnuchin says U.S.-China Trade Deal '90% Complete',"Forexpros, 377 words",,6/26/2019
"Stocks - Micron, FedEx Gain Premarket; General Mills Falls","Forexpros, 278 words",,6/26/2019
Stop electric cars' handouts,"The Philadelphia Inquirer, OPINION; Pg. A10, 732 words",,6/25/2019
Streetwise newsletter: Ontario Teachers sets sights on space with investment in Elon Musk s SpaceX,"Breaking News from globeandmail.com, BUSINESS, 526 words",,6/27/2019
Streetwise newsletter: Ontario Teachers sets sights on space with investment in Elon Musk s SpaceX,"Breaking News from globeandmail.com, BUSINESS, 526 words",,6/27/2019
Sun never sets on '40s at solar-powered site;Memory Lane Heritage Village will be Nova Scotia's first museum fully powered by sun as of July 1,"StarMetro Halifax, METRO; Pg. N5, 592 words",,6/27/2019
"Supersonic Car Wash Surveys Utahns on Their Relationship With Their Cars;How Has Your Relationship with Your Car Changed Over the Years?;Safety, Dependability Are the Number One Reasons Utah's Drivers Love Their Cars","Business Wire, 671 words",,6/26/2019
The Current War trailer: Benedict Cumberbatch plays Edison in this period drama,"Indian Express, 262 words",,6/26/2019
The Current War' trailer explores electric race for power,"CNN.com, SHOWBIZ, 221 words",,6/26/2019
The Current War' trailer explores electric race for power,"CNN Wire, 236 words",,6/26/2019
The stakes for critical minerals just got critically higher as Trump and Trudeau agree to develop a collaborative plan,"Proactive Investors, 1134 words",,6/26/2019
Thomas Honors Q2 Award Program Winners For Industry Innovators,"Company News, 1128 words",,6/26/2019
Thomas Honors Q2 Award Program Winners For Industry Innovators,"Business Wire, 922 words",,6/25/2019
Thomas Honors Q2 Award Program Winners For Industry Innovators,"Product News Network, 895 words",,6/25/2019
"Today's top tech news, June 26: Startupbootcamp launches Japan cohort, Affle International acquires RevX","e27, 1169 words",,6/26/2019
"Toppy Tuesday - Trouble at 2,950 - Again","Phil's Stock World, 701 words",,6/25/2019
Trailer: Benedict Cumberbatch Stars In The Current War,"Awards Daily, 365 words",,6/25/2019
Twenty Questions,"Lacombe Globe, LOCAL; Pg. A5, 297 words",,6/27/2019
Uber's flying taxi will slash your commute by 2023,"Indian Technology news, 363 words",,6/25/2019
UK Medical Devices Multinational Manufacturers,"Business Monitor Online, 4443 words",,6/26/2019
"United States: Department of Energy Announces 2019 Technology Commercialization Fund Projects - Public-Private Collaboration Stimulates Innovation to Bolster U.S. Competitiveness, Security","Thai News Service, BUSINESS NEWS, 2283 words",,6/27/2019
USA: Department of Energy Announces 2019 Technology Commercialization Fund Projects,"Contify Energy News, 2333 words",,6/25/2019
US car sharing firm Getaround acquires Nordic firm for $12m,"MarketLine NewsWire (Formerly Datamonitor), BUSINESS SERVICES; Automotive, Transport and Logistics, 360 words",,6/26/2019
"Vehicle Backup Cameras Market 2019 Global Key Players, Size, Applications & Growth Opportunities - Analysis to 2024","M2 PressWIRE, 839 words",,6/26/2019
VF strengthens ties with Chinese partners,"China Daily, 615 words",,6/26/2019
Watch Arnold Schwarzenegger go undercover and prank prospective car buyers,"BGR, 302 words",,6/27/2019
We're Not Playing Acquisition Pac-Man Anymore,"Defense One, 1041 words",,6/26/2019
Will airline companies cause their own crash?," EurActiv.com, 1050 words",,6/26/2019
Will the era of combustion engines be over?,"CE Noticias Financieras English, 743 words",,6/27/2019
"WIPO PUBLISHES PATENT OF JEREMIAH JOHN BRADY, EDWARD KARL STEINEBACH, GERARD MICHAEL LUDTKA AND MAGNA INTERNATIONAL FOR ""ELECTROMAGNETIC EXTRUSION"" (AMERICAN INVENTORS)","US Fed News, 294 words",,6/27/2019
"With 53 Million Americans Embarking On Road Trips In 2019, Outdoorsy Invites Travelers To Find What Moves Them With The Launch Of Experiences;More than 200,000 global trip experiences are now at customers' fingertips alongside a growing inventory of rentable rigs","PR Newswire, 1119 words",,6/25/2019
YOU THINK,"Forbes Polska (English); ENTREPRENEURIAL THOUGHTS ABOUT CRISES; S. 192; Ausg. 7, 232 words",,6/27/2019
3 WASHINGTON STATE UNIVERSITY STEM UNDERGRADUATES RECEIVE NATIONAL GOLDWATER AWARDS,"US Fed News, 2286 words",,6/21/2019
"4 dead in Santa Maria mobile home park shooting, explosion","The Mercury News (California), 279 words",,6/22/2019
5 Ominous Signals for Housing Market Even If Fed Cuts Rates,"Investopedia Stock Analysis, 820 words",,6/19/2019
23 Bay Area wine festivals and cocktail events in July and beyond,"The East Bay Times (California), 1232 words",,6/22/2019
23 Bay Area wine festivals and cocktail events in July and beyond,"The Mercury News (California), 1232 words",,6/22/2019
2019 Curiosity Conference Silicon Valley Rounded off and Squirrel AI Learning by Yixue Group Shows the Power of Chinese AI+ Education,"PR Newswire, 1804 words",,6/19/2019
"A Florida city paid a $600,000 bitcoin ransom to hackers who took over its computers - and it's a massive alarm bell for the rest of the US","Business Insider US, 785 words",,6/20/2019
"After 'Fix the roof' chants, a deal;Faurecia workers in Mich. to vote on pact","Automotive News; Pg. 8; Vol. 93, 284 words",,6/24/2019
"AI, Drones, Empathy, Alienation, and the Gig Economy","Naked Capitalism, 3269 words",,6/24/2019
Airflow was the first modern car,"Tillsonburg News, LOCAL; Pg. B6, 2188 words",,6/19/2019
A.I.S. Resources Commences Manganese Export From Peru,"GlobeNewswire, COMPANY ANNOUNCEMENT, 1196 words",,6/20/2019
A.I.S. Resources Commences Manganese Export From Peru TSX Venture Exchange:AIS,"Global English (Middle East and North Africa Financial Network), 1181 words",,6/20/2019
All-electric Jaguar XJ coming soon on platform shared with 'Road Rover',"AutoblogGreen, 703 words",,6/24/2019
All-electric Jaguar XJ coming soon on platform shared with 'Road Rover',"Autoblog, 701 words",,6/24/2019
Atlassian duo battle to make Sydney a tech and green energy hub," FT.com, 1325 words",,6/23/2019
Audio Dr. Niko Kriegeskorte: How can computer models help us better understand the brain?,"Federal NewsFeed Mental Health NIMH, 4862 words",,6/20/2019
Automakers are racing to keep up,"Richmond Times Dispatch (Virginia), COMMENTARY; Pg. 4E, 1484 words",,6/23/2019
Automakers are racing to keep up,"Richmond Times Dispatch (Virginia), COMMENTARY; Pg. 4E, 1483 words",,6/23/2019
"Automotive Visual Signaling Equipment Market 2019 Global Share, Trends, Segmentation, Analysis and Forecast to 2025","MENA English (Middle East and North Africa Financial Network), 799 words",,6/21/2019
Axonics gets FDA nod for use of full-body MRI,"Impact Financial News, 80 words",,6/21/2019
Bacon Bits: Dominion Energy Updates,"State Capital Newsfeed Bacon's Rebellion( Virginia), 527 words",,6/19/2019
Bacon Bits: Dominion Energy Updates,"Bacon's Rebellion, 527 words",,6/19/2019
BCUC Issues Phase Two Report on the Regulation of Electric Vehicle Charging Services in BC,"Global English (Middle East and North Africa Financial Network), 1825 words",,6/24/2019
BCUC Issues Phase Two Report on the Regulation of Electric Vehicle Charging Services in BC,"GlobeNewswire, RESEARCH ANALYSIS AND REPORTS, 1815 words",,6/24/2019
Beginners Guide to Abra Crypto App Mobile Wallet: Complete Review,"Blockonomi, 2642 words",,6/24/2019
Billionaire media mogul Rupert Murdoch 'suffered a bout of pneumonia as a result of the flu last month',"MailOnline, NEWS; Version:3, 599 words",,6/21/2019
"Bipartisan Push to Crack Down on Big Tech over User Data; FBI Investigating Lab Startup uBiome, ""Toy Story 4"" Makes Child's Play of Competition; Fan Struck in Head by Foul Ball at Dodger Stadium; Paris Aims to Ease Olympics 2024 Traffic with Flying Taxis","MORNINGS WITH MARIA, MORNINGS WITH MARIA 7:00 AM EST, NEWS; Financial, 7151 words",,6/24/2019
Blue States Roll Out Aggressive Climate Strategies. Red States Keep to the Sidelines.,"The New York Times , CLIMATE, 1826 words",,6/21/2019
Briefing.com: Stock Market Update - 11:25 ET,"Briefing.com, 2695 words",,6/20/2019
Briefing.com: Stock Market Update - 11:25 ET,"Briefing.com, 2681 words",,6/20/2019
Briefing.com: Stock Market Update - 11:55 ET,"Briefing.com, 2808 words",,6/20/2019
Briefing.com: Stock Market Update - 12:25 ET,"Briefing.com, 2917 words",,6/20/2019
Briefing.com: Stock Market Update - 13:00 ET,"Briefing.com, 3539 words",,6/20/2019
Briefing.com: Stock Market Update - 14:30 ET,"Briefing.com, 3956 words",,6/20/2019
Briefing.com: Stock Market Update - 14:55 ET,"Briefing.com, 4025 words",,6/20/2019
Briefing.com: Stock Market Update - 15:35 ET,"Briefing.com, 4163 words",,6/20/2019
Briefing.com: Stock Market Update - 16:20 ET,"Briefing.com, 4789 words",,6/20/2019
Briefing.com: Stock Market Update - 16:20 ET,"Briefing.com, 4786 words",,6/20/2019
Carmageddon Is Coming,"Banyan Hill, 943 words",,6/20/2019
China leads as Asia FDI soars;ASIA-PACIFIC CONTINUED TO BE THE WORLD'S TOP GREENFIELD FDI REGION IN 2018 WITH CHINA THE GLOBAL NUMBER ONE ; fDi REPORT,"Foreign Direct Investment (fDI), NEWS; TEASERS; Pg. 58, 378 words",,6/20/2019
China's industrial incentive policy - from global factory to intellectual powerhouse,"The Financial Express (Bangladesh), 1361 words",,6/24/2019
Climate Policy Across States: It's Red vs. Blue,"The New York Times, Section A; Column 0National Desk; Pg. 1, 1799 words",,6/22/2019
"Cloud data management company Druva raises $130 million, passes $1 billion valuation","VentureBeat, 557 words",,6/20/2019
Cochlear Limited announces U.S FDA approval of new new built-in connectivity,"Impact Financial News, 246 words",,6/21/2019
Cracks appear in Intel's grip on supercomputing,"Network World, NEWSANALYSIS, 457 words",,6/20/2019
CREFC June 2019,"JD Supra, 1199 words",,6/20/2019
Dallas Clean Air Action Day Celebration,"AP Planner, INDUSTRY VERTICALS; Awareness Days & CampaignsEnergy, 117 words",,6/21/2019
David Dobrik Invites 'Architectural Digest' Into His $2.5 Million Los Angeles Home,"Tubefilter, 322 words",,6/24/2019
David WPhillips,"Telegraph Herald (Dubuque, IA), B; Pg. 6, 468 words",,6/20/2019
Donald Trump Officially Kicks Off 2020 Campaign; Acting Defense Sec. Patrick Shanahan Stepping Down; President Donald Trump Downplays Any Military Action Against Iran. Aired 5:30-6a ET,"CNN, EARLY START 5:30 AM EST, NEWS; International, 3053 words",,6/19/2019
Duo battle to make Sydney tech and green energy hub;Atlassian chiefs want Australian city to challenge New York and London,"Financial Times (London, England), NEWS; Pg. 8, 1107 words",,6/24/2019
Duo battle to make Sydney tech and green energy hub;Atlassian chiefs want Australian city to challenge New York and London,"Financial Times (London, England), NEWS; Pg. 7, 1107 words",,6/24/2019
Duo battle to make Sydney tech and green energy hub;Atlassian chiefs want Australian city to challenge New York and London,"Financial Times (London, England), FEATURES; Pg. 7, 1344 words",,6/24/2019
Duo battle to make Sydney tech and green energy hub;Atlassian chiefs want Australian city to challenge New York and London,"Financial Times (London, England), NEWS; Pg. 9, 1107 words",,6/24/2019
"Electric Vehicle (EV) News Today: Free Charging, NIO, Xpeng,VW Stats","AUTO Connected Car News, 1017 words",,6/19/2019
"Electrification of US economy aligns incentives of utilities, stakeholders","SNL Power Policy Week; Extra, 1011 words",,6/19/2019
"Electrification of US economy aligns incentives of utilities, stakeholders","SNL Electric Transmission Week; Extra, 1011 words",,6/24/2019
"Electrification of US economy aligns incentives of utilities, stakeholders","SNL Renewable Energy Weekly; Extra, 1011 words",,6/21/2019
"Electrification of US economy aligns incentives of utilities, stakeholders","SNL Electric Utility Report; Extra, 1011 words",,6/24/2019
Elon Musk humiliated as NASA boss says SpaceX explosion 'no doubt' delays flight program,"Express Online, 587 words",,6/19/2019
Europe's small cars an endangered species;New CO2 regs may make many models nearly impossible,"Automotive News; Pg. 24; Vol. 93, 1717 words",,6/24/2019
"Fifty years after the first Moon landing, our man discovers that Florida's space centre is a blast!","MailOnline, TRAVEL; Version:2, 951 words",,6/21/2019
FLORIDA'S SPACE CENTRE IS A BAST!,"DAILY MAIL (London), 903 words",,6/22/2019
"Florida's space centre is a blast!;Escape: Adventure ; 50 years after the first Moon landing, our man discovers that...","Scottish Daily Mail, FEATURES; Pg. 65, 909 words",,6/22/2019
"Ford Shelby Mustang GT500 2020: prices, specs and release","The Week UK, 677 words",,6/20/2019
From Pain and Tragedy to Global Empire: How Trevor Noah Became the Busiest Man in Comedy,"hollywoodreporter.com, NEWS; TAG, 4296 words",,6/19/2019
"G20 summit, Conservative leadership, Iran tension"," FT.com, 1209 words",,6/23/2019
"Global Automatic or Autonomous Emergency Braking (AEB) Market Shipment and Sales Forecast 2017 - 2025: Daimler AG (Germany), Audi AG (Germany), BMW Group (Germany)","ReleaseWire, 1155 words",,6/24/2019
Global Markets for Rechargeable Batteries to 2024 - Widening Applications Spur Growth for Li-Ion Batteries,"Global English (Middle East and North Africa Financial Network), 3140 words",,6/24/2019
"Global Next-generation Battery Market Share, Supply, Analysis and Forecast to 2024","Global English (Middle East and North Africa Financial Network), 626 words",,6/20/2019
Goga' Stocks Part 2: Throw A Line Overseas to Net Big Yields,"RealMoney, 773 words",,6/21/2019
Hidden tech gems,"Investorschronicle.co.uk, 3533 words",,6/20/2019
"High Voltage BatteryMarket 2019 Growing with Major Key Players-Robert Bosch, ABB, CATL, Continental AG, Delphi Technologies, LG Chem, BYD, Samsung SDI","ReleaseWire, 1142 words",,6/19/2019
"House Energy and Commerce Subcommittee on Consumer Protection and Commerce and Energy Hearing;""Driving in Reverse: The Administration's Rollback of Fuel Economy and Clean Car Standards."";Testimony by Josh Nassar, Legislative Director, United Auto Worker;WAX61362019H002","Congressional Documents and Publications, U.S. HOUSE OF REPRESENTATIVES DOCUMENTS, 3619 words",,6/20/2019
"House Financial Services Subcommittee on National Security, International Development, and Monetary Policy Hearing;""Slowing Economic Growth: The Impact of Recent Trade and Tax Policies on the U.S. Economy."";Testimony by Fred Bergsten, Senior Fellow and Director Emeritus, Peterson Institute for International Economics;WAX61461919H090","Congressional Documents and Publications, U.S. HOUSE OF REPRESENTATIVES DOCUMENTS, 1136 words",,6/19/2019
Huawei shouldn't be made a victim in technology competition,"China Daily (Hong Kong Edition), 704 words",,6/20/2019
Huawei shouldn't be made a victim in technology competition,"China Daily, 693 words",,6/20/2019
Hybrid Electric Vehicles Market: Parallel Hybrid Powertrain System to Witness Robust Growth,"ReleaseWire, 792 words",,6/24/2019
IBM Develops Worlds Most Powerful Commercial Supercomputer for Total,"ICT Monitor Worldwide, 685 words",,6/19/2019
Inslee shows path for Green New Deal [opinion],"LNP (Lancaster, PA), 718 words",,6/24/2019
"It's A Solar Panel For A WAR MACHINE! Wonkagenda for Thurs., June 20, 2019","Wonkette, 2246 words",,6/20/2019
Japanese firms committed to China: report,"Global Times (China), 701 words",,6/20/2019
Jd Power Says Korean Cars Beat Us and Europe in Quality,"Automotive Monitor Worldwide, 705 words",,6/21/2019
"Jeff Bezos took another veiled shot at Elon Musk, arguing that reaching Mars is an 'illusion' without going via the moon","The Business Insider, 1162 words",,6/20/2019
Lithium Ion Battery Sector Trending Up With Estimated Market Share to Exceed $90 Billion by 2024,"iCrowdNewswire (English), 2139 words",,6/23/2019
Mark your calendar Thursday 20 Friday 21,"Chicago Daily Herald, NEIGHBOR; Pg. 2, 1276 words",,6/20/2019
Mattermost raises $50 million to advance its open source Slack alternative,"Financial Services Monitor Worldwide, 872 words",,6/22/2019
Mattermost raises $50 million to advance its open source Slack alternative,"VentureBeat, 970 words",,6/19/2019
"More tech talent jumps to firms on home front;Multinational firms, especially US ones, can no longer pick and choose from mainland university graduates as domestic tech giants ride the cutting edge","South China Morning Post, /EDITORIAL/CONTENT/SCMP/TECH; nws china 02.pgl; Pg.6, 1604 words",,6/21/2019
Motors are rushing to keep pace,"CE Noticias Financieras English, 1422 words",,6/19/2019
Nanocoatings: The Future of the Market to 2024 - Medical Device Manufacturing Market Offers Plenty of Opportunities for Growth,"PR Newswire, 1666 words",,6/24/2019
Nanodegrees and other paths to jobs in the self-driving car industry,"The Mercury News (California), 855 words",,6/21/2019
Noah Smith Basic income’s backers complicate their cause with some bad arguments,"The Salt Lake Tribune, 899 words",,6/22/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/20/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/22/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/23/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/21/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/19/2019
No Headline In Original,"Tampa Bay Times, FEATURES; Pg. 2, 569 words",,6/21/2019
No Headline In Original,"AAP Newsfeed, FINANCIAL NEWS, 457 words",,6/24/2019
Nvidia and Volvo agree AI deal,"The Irish Times, FINANCE; Pg. 3, 129 words",,6/19/2019
"Only in New York: the services offering helicopter rides to the wealthy;The Big Apple has long had an infatuation with flying over the city, but there's a risk in choosing the air over driving congested streets","The Guardian(London), TECHNOLOGY; Version:2, 1164 words",,6/21/2019
ON THIS DAY,"The Daily Telegraph (Australia), HISTORY; Pg. 68, 236 words",,6/22/2019
Ormat Technologies Inc at JPMorgan Energy Conference - Final,"FD (Fair Disclosure) Wire, 4239 words",,6/19/2019
Personal Airline Exchange Orders 50 Ampaire EEL Hybrid Electric Commuter Airplanes,"CleanTechnica, 881 words",,6/22/2019
"PolyRemedy, Inc. offers integrated wound management systems designed to increase consistency by extending wound care expertise to the point of care","iCrowdNewswire (English), 689 words",,6/21/2019
"Pot edibles coming soon and woman overbilled $3,000 on phone bill: CBC's Marketplace consumer cheat sheet","CBC News, 595 words",,6/23/2019
